ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
10535,10815,1.0
10535,11728,1.0
10535,15167,1.0
10540,10329,1.0
10540,10529,1.0
10540,10785,1.0
10540,10821,1.0
10540,10821,1.0
10540,10927,1.0
10540,10927,1.0
10540,10927,1.0
10540,11728,1.0
10540,11728,1.0
10540,12222,1.0
10540,12397,1.0
10540,12478,1.0
10540,12478,1.0
10540,12478,1.0
10540,12898,1.0
10540,12953,1.0
10540,13398,1.0
10540,13398,1.0
10540,13505,1.0
10540,14212,1.0
10540,14539,1.0
10540,14553,1.0
10540,14679,1.0
10540,14771,1.0
10540,14771,1.0
10540,14875,1.0
10540,15096,1.0
10540,15167,1.0
10540,15167,1.0
10540,15167,1.0
10540,16571,1.0
10551,10241,1.0
10551,10241,1.0
10551,10241,1.0
10551,10241,1.0
10551,10304,1.0
10551,10304,1.0
10551,10304,1.0
10551,10304,1.0
10551,10304,1.0
10551,10304,1.0
10551,10313,1.0
10551,10313,1.0
10551,10313,1.0
10551,10405,1.0
10551,10416,1.0
10551,10416,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10551,1.0
10551,10996,1.0
10551,10996,1.0
10551,10996,1.0
10551,11028,1.0
10551,11028,1.0
10551,11028,1.0
10551,11227,1.0
10551,11241,1.0
10551,11241,1.0
10551,11492,1.0
10551,11492,1.0
10551,11492,1.0
10551,11492,1.0
10551,11492,1.0
10551,11550,1.0
10551,11550,1.0
10551,11550,1.0
10551,11550,1.0
10551,11952,1.0
10551,11952,1.0
10551,11952,1.0
10551,12087,1.0
10551,12087,1.0
10551,12195,1.0
10551,12195,1.0
10551,12195,1.0
10551,12195,1.0
10551,12195,1.0
10551,12195,1.0
10551,12195,1.0
10551,12676,1.0
10551,12676,1.0
10551,12676,1.0
10551,12676,1.0
10551,12708,1.0
10551,12708,1.0
10551,12709,1.0
10551,12709,1.0
10551,12709,1.0
10551,12709,1.0
10551,12719,1.0
10551,12779,1.0
10551,12779,1.0
10551,12779,1.0
10551,12807,1.0
10551,12831,1.0
10551,12831,1.0
10551,12851,1.0
10551,12851,1.0
10551,12851,1.0
10551,12853,1.0
10551,12853,1.0
10551,12855,1.0
10551,12855,1.0
10551,12855,1.0
10551,12855,1.0
10551,12855,1.0
10551,13115,1.0
10551,13196,1.0
10551,13369,1.0
10551,13369,1.0
10551,13369,1.0
10551,13369,1.0
10551,13369,1.0
10551,13434,1.0
10551,13579,1.0
10551,13710,1.0
10551,13710,1.0
10551,13710,1.0
10551,13710,1.0
10551,13710,1.0
10551,13715,1.0
10551,13770,1.0
10551,13770,1.0
10551,13770,1.0
10551,13770,1.0
10551,13873,1.0
10551,13894,1.0
10551,14130,1.0
10551,14234,1.0
10551,14282,1.0
10551,14282,1.0
10551,14282,1.0
10551,14282,1.0
10551,14282,1.0
10551,14718,1.0
10551,14718,1.0
10551,14816,1.0
10551,14880,1.0
10551,14880,1.0
10551,14987,1.0
10551,14987,1.0
10551,14987,1.0
10551,14987,1.0
10551,15257,1.0
10551,15257,1.0
10551,15282,1.0
10551,15282,1.0
10551,15282,1.0
10551,15282,1.0
10551,15282,1.0
10551,15293,1.0
10551,15554,1.0
10551,15554,1.0
10551,15798,1.0
10551,15798,1.0
10551,15798,1.0
10551,15798,1.0
10551,15798,1.0
10551,15798,1.0
10551,15798,1.0
10551,15798,1.0
10551,15862,1.0
10551,15862,1.0
10551,15887,1.0
10551,15887,1.0
10551,15887,1.0
10551,15887,1.0
10551,16311,1.0
10551,17011,1.0
10551,17011,1.0
10551,17011,1.0
10556,10056,1.0
10559,10325,1.0
10559,10800,1.0
10559,11041,1.0
10559,11811,1.0
10559,11811,1.0
10559,11884,1.0
10559,11898,1.0
10559,12136,1.0
10559,12200,1.0
10559,12264,1.0
10559,13796,1.0
10559,14004,1.0
10559,14057,1.0
10559,14303,1.0
10559,14771,1.0
10559,15167,1.0
10559,16101,1.0
10561,14908,1.0
10561,14908,1.0
10561,15325,1.0
10581,13987,1.0
10589,12197,1.0
10589,12916,1.0
10589,15167,1.0
10589,16680,1.0
10599,11140,1.0
10599,12954,1.0
10599,12954,1.0
10599,12954,1.0
10599,13158,1.0
10599,14050,1.0
10599,14996,1.0
10613,12264,1.0
10613,12932,1.0
10613,15167,1.0
10613,15167,1.0
10613,15855,1.0
10613,15855,1.0
10620,10849,1.0
10627,10559,1.0
10630,12889,1.0
10630,12954,1.0
10640,11411,1.0
10640,13970,1.0
10654,11764,1.0
10666,10325,1.0
10666,11588,1.0
10666,11588,1.0
10670,12130,1.0
10670,12222,1.0
10670,15167,1.0
10683,12902,1.0
10693,10599,1.0
10693,10990,1.0
10693,11049,1.0
10693,11109,1.0
10693,11109,1.0
10693,11259,1.0
10693,12264,1.0
10693,12264,1.0
10693,12892,1.0
10693,13296,1.0
10693,13485,1.0
10693,13930,1.0
10693,13930,1.0
10693,13931,1.0
10693,14107,1.0
10693,14321,1.0
10693,14457,1.0
10693,14869,1.0
10693,14908,1.0
10713,10257,1.0
10713,10397,1.0
10713,10849,1.0
10713,11298,1.0
10713,12154,1.0
10713,12191,1.0
10713,12892,1.0
10713,12954,1.0
10713,13342,1.0
10713,13495,1.0
10713,14057,1.0
10713,15304,1.0
10721,10154,1.0
10721,10154,1.0
10721,10154,1.0
10721,10423,1.0
10721,10589,1.0
10721,10589,1.0
10721,10589,1.0
10721,10589,1.0
10721,10693,1.0
10721,10721,1.0
10721,10800,1.0
10721,10800,1.0
10721,10821,1.0
10721,10965,1.0
10721,10980,1.0
10721,11423,1.0
10721,11675,1.0
10721,11764,1.0
10721,12197,1.0
10721,12222,1.0
10721,12278,1.0
10721,12391,1.0
10721,12397,1.0
10721,12478,1.0
10721,12478,1.0
10721,12889,1.0
10721,12889,1.0
10721,13008,1.0
10721,13204,1.0
10721,13303,1.0
10721,13303,1.0
10721,13487,1.0
10721,13495,1.0
10721,13541,1.0
10721,13796,1.0
10721,13851,1.0
10721,14107,1.0
10721,14122,1.0
10721,14576,1.0
10721,14875,1.0
10721,15016,1.0
10721,15167,1.0
10721,15167,1.0
10721,15167,1.0
